specie	diet_breadth						
Lycalopex_sechurae	7						
Lycalopex_gymnocercus	7						
Cerdocyon_thous	7						
Vulpes_zerda	6						
Vulpes_corsac	6						
Vulpes_chama	6						
Vulpes_cana	6						
Urocyon_littoralis	6						
Urocyon_cinereoargenteus	6						
Nyctereutes_procyonoides	6						
Lycalopex_vetulus	6						
Chrysocyon_brachyurus	6						
Canis_mesomelas	6						
Canis_aureus	6						
Canis_adustus	6						
Vulpes_vulpes	1						
Vulpes_velox	1						
Vulpes_ferrilata	1						
Speothos_venaticus	1						
Otocyon_megalotis	1						
Lycaon_pictus	1						
Cuon_alpinus	1						
Atelocynus_microtis	1						
Canis_simensis	1						
Canis_lupus	1						
Canis_latrans	1						
